"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Prisma", "XML", "TypeScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/edge.js", "JavaScript", 0, 0, 0, 148, 0, 0, 0, 0, 0, 21, 27, 196
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/index-browser.js", "JavaScript", 0, 0, 0, 136, 0, 0, 0, 0, 0, 21, 26, 183
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/index.d.ts", "TypeScript", 1195, 0, 0, 0, 0, 0, 0, 0, 0, 943, 286, 2424
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/index.js", "JavaScript", 0, 0, 0, 162, 0, 0, 0, 0, 0, 23, 32, 217
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/package.json", "JSON", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 140
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/edge-esm.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 8, 35
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/edge.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 8, 35
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/index-browser.d.ts", "TypeScript", 264, 0, 0, 0, 0, 0, 0, 0, 0, 20, 87, 371
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/index-browser.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 14, 2, 17
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/library.d.ts", "TypeScript", 2343, 0, 0, 0, 0, 0, 0, 0, 0, 846, 459, 3648
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/library.js", "JavaScript", 0, 0, 0, 101, 0, 0, 0, 0, 0, 16, 30, 147
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/react-native.js", "JavaScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 5, 16, 84
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/wasm.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 8, 36
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 6, 33
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/wasm.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/spursh/Documents/code/equestria/lib/generated/prisma/wasm.js", "JavaScript", 0, 0, 0, 136, 0, 0, 0, 0, 0, 21, 26, 183
"/Users/spursh/Documents/code/equestria/lib/prisma.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 11
